ISBN,Authors,Titles
0006131409,Hammond Innes,The Trojan horse
0006132138,Helen MacInnes,Rest and Be Thankful
0006135889,Bryan Forbes,The Distant Laughter
0006135986,Simone De Beauvoir,Woman Destroyed
0006136753,Stuart Cloete,"The honey bird, and other African stories"
000613923X,Graham Winston,BLACK MOON
0006140823,Winston Graham,Ross Poldark :POLDARK
0006143199,Bagley Desmond,SNOW TIGER
000614330X,Winston Graham,The Grove of Eagles
0006143490,Holt Victoria,HOUSE OF 1000 LANTERNS
0006145922,Innes Hammond,NORTH STAR
0006148891,Alistair Maclean,Circus
0006149995,Victoria Holt,LORD OF THE FAR ISLAND
0006150624,Mary Danby,The Fifth Fontana Book of Great Horror Stories
0006150713,Macinnes Helen,Agent in Place
0006150853,Winston Graham,The BLACK MOON
0006152988,MacInnes Helen,Message from Malaga
0006154298,Duncan Kyle,A Cage of Ice
0006154751,Derek Wilson,"The Bear's Whelp: The Autobiography of Robert Dudley, Duke of Northumberland, Earl of Warwick and Earl of Leicester in the Holy Roman Empire"
0006156487,Jan Webster,Saturday City
0006157114,Catherine Gaskin,Summer of the Spanish Woman
0006157149,Holt Victoria,DEVIL ON HORSEBACK
0006157629,Agatha Christie,4:50 From Paddington
0006157688,Ngaio Marsh,Grave Mistake
0006161529,Ngaio Marsh,Vintage Murder
0006163041,Desmond Bagley,Bahama Crisis Uk
0006163831,Stephen Donaldson,One Tree
0006164188,Charles Gidley,The River Running
0006164587,Alan Judd,A Breed of Heroes
0006164625,Catherine Gaskin,Family Affairs
0006164900,Geoffrey Jenkins,A Ravel of Waters
0006165109,R. Chetwynd-Hayes,The Eighteenth Fontana Book of Great Ghost Stories
0006165966,Robert McCrum,A Loss of Heart
0006166598,Eric Ambler,A Kind of Anger
0006166881,Susan Moore,Paths of Fortune
0006167071,Jon Cleary,LONG PURSUIT
0006168663,Owen Sela,Triple Factor
0006168760,Jon Cleary,Spearfield's Daughter
0006170056,Agatha Christie,Nemesis
0006170218,Jon Cleary,The Phoenix Tree
0006170552,Sarah Woodhouse,A Season of Mists
0006171788,Ian St James,The Killing Anniversary
0006171966,Gerald Seymour,In Honour Bound
0006171982,Bernard Cornwell,Sharpes Honor
0006172504,Desmond Bagley,Juggernaut
0006173284,Vera Cowie,The Bad and the Beautiful
0006173373,Polly Graham,A Semi-detached Woman
0006173438,Robert Don Hughes,PROPHET OF LAMATH
0006173454,Robert Don Hughes,POWER AND THE PROPHET
0006173527,Charles Gidley,Armada
0006174094,Glen Petrie,The Fourth King
0006174116,David Fraser,DRAGONS TEETH
0006174450,David Fraser,The Seizure
0006174817,Jon Cleary,Dragons at the Party
0006174841,Susan Elizabeth Phillips,Glitter Baby
000617499X,Gerald Seymour,A Song in the Morning
000617521X,Stephen Marley,Spirit Mirror
0006175317,Peter Turnbull,The Claws of the Gryphon
0006175465,Audrey Howard,The Juniper Bush
0006175473,John Gordon Davis,The Land God Made in Anger
0006176089,Tom Henighan,The Well of Time
0006176100,Brian Callison,Trapp and World War III
000617616X,Gerald Seymour,At Close Quarters
0006176267,Josef Telushkin,The Unorthodox Murder of Rabbi Moss
0006176453,Duncan Kyle,The Honey Ant
0006176550,George MacDonald Fraser,McAuslan in the Rough
0006176607,Ian St James,Justice
000617664X,Mike Jefferies,Glitterspike Hall (The Heirs to Gnarlsmyre)
0006176682,Peter Essex,Candle in the Wind
0006176747,Hammond Innes,Medusa
0006176909,Michael Dobbs,House of Cards
000617695X,Barker Clive,The Great &amp; Secret Show
0006176992,Pamela Haines,Tea at Gunter's
0006177018,Edwin Mullins,The Lands of the Sea
0006177379,Vera Cowie,Secrets
0006177409,Bryan Forbes,A Song at Twilight
0006177476,Alan Fenton,Shadow of the Titan
0006177492,Gerald Seymour,Home Run
0006177972,Connie Monk,Rachels's Way
0006178316,Jim Shepard,Flights
000617843X,Doris Davidson,The Brow of the Gallowgate
0006178499,Alastair MacNeill,"Alistair MacLean's \Red Alert\"""""
000617891X,Ian St James Awards,At the Stroke of Twelve
0006179223,Anne Rivers Siddons,King's Oak
0006179401,Antony Swithin,The Winds of the Wastelands (Perilous Quest for Lyonesse)
0006179983,Callison,Ferry Down-Voyage To Disaster
0006198228,Lyman Coleman,Youth Ministry Encyclopedia
0006240038,John Joseph Powell,Why am I afraid to love?
0006248357,Elizabeth Goudge,A Book of Comfort: An Anthology
0006253725,Gerald Priestland,Yours Faithfully: Collected Radio Talks
0006254187,Sheila Cassidy,Audacity to Believe
0006255450,Jean-Pierre de Caussade,The Sacrament of the Present Moment
0006268501,Maggie Durran,Dear God Most of the Time Your Quite Nice
0006269281,C.S. Lewis,First and Second Things: Essays on Theology and Ethics
0006269818,Bernard,Open to God: The Franciscan life (Fount paperbacks)
0006270182,Edmund Wilson,"The Dead Sea Scrolls, 1947-1969"
0006271197,Anna,Anna's Book
000627210X,Meister Eckhart,Meister Eckhart: The Man from Whom God Hid Nothing
0006273297,C. S Lewis,Letters of C.S. Lewis
0006273637,Mother Teresa of Calcutta,Heart of Joy
0006275192,Anthony De Mello,Awareness
0006276199,Adrian Plass,Alien at St Wilfred's
0006276482,Ann Richardson,Wise Before Their Time: People With AIDS and Hiv Talks About Their Lives
000627658X,Richard Surman,Cathedral Cats
0006278574,Philip Crowe,A Whisper Will Be Heard
0006278663,Terry Lovell,Number One Millbank
0006278728,Liz Barr,Soul Survivor
0006278841,George Barnarnos,The Diary of a Country Priest
0006279252,Jonathan A. Romain,Till Faith Us Do Part
0006279295,Thora Hird,Scene and Hird: Autobiography 1911-1974
0006279759,Gerard Manley Hopkins,Selected Writings (Fount Classics)
0006279945,Emily Bronte,Poems: Emily Bronte (Fount Classics)
000628003X,Helen Prejean,Dead Man Walking
0006280323,Samuel Taylor Coleridge,Spiritual Writings Selected Poems and Pros (Fount Classics)
0006280358,David Ford,"Shape of Living, The"
0006280625,Nigel Watts,Most This Amazing Day
0006280803,Mary Craig,Kundun
0006280838,Lewis Cs,Surprised By Joy
0006281257,Richard Surman,The Times Book of Church Cats
0006281443,Peter Vardy,The Puzzle of Ethics
0006281729,Jonathan Sacks,Celebrating Life: Finding Happiness in Unexpected Places
0006281745,Roland Howard,Shopping for God: A Sceptic's Search for Value in Britain's Spiritual Marketplace
0006323154,Gerald S Hawkins,Stonehenge Decoded
0006326587,A. G Ford,"Income, spending and the price level (Fontana introduction to modern economics)"
0006329101,Thomas Townley MacAn,Life in Lakes and Rivers (The Fontana New Naturalist)
0006329497,John Harvey,Plantagenets
0006329527,J. P Kenyon,The Stuarts: A study in English kingship (British monarchy series)
0006329535,Roger Fulford,Hanover to Windsor
0006331947,Augustus Daniel Imms,Insect natural history (Fontana new naturalist)
0006337619,Sheila Kitzinger,Women as mothers
0006338267,Anthony Summers,The File on the Tsar
0006338445,Jack Dominian,Depression
0006339336,R.J. Minney,Carve Her Name with Pride
000634156X,Ainslie Meares,Relief Without Drugs: The Self Management of Tension and Anxiety
0006341616,Gerald Durrell,Beasts in My Belfry
000634464X,Gerald Durrell,Fillets of Plaice
0006345530,Gerald Durrell,Rosy Is My Relative
0006345549,Gerald Durrell,Two In the Bush
0006351484,John Barnes,Eva Peron
0006352537,Terence Brown,"Ireland: A social and cultural history, 1922-79 (Fontana paperbacks)"
0006356702,Geoffrey Parker,EUROPE CRISIS 1598-1648 (Fontana History of Europe)
0006357032,Vera Brittain,Testament of Youth
0006359329,Tim Pat Coogan,The I.R.A (Fontana paperbacks)
0006361862,Vera Brittain,Testament of Experience
0006363113,Joy Adamson,Queen of Shaba: The Story of an African Leopard
0006363121,Gerald Durrell,The Picnic and Suchlike Pandemonium
0006364276,Ludovic Kennedy,A Book of Railway Journeys
0006364896,Paul Bailey,An English Madam: The Life and Work of Cynthia Payne
0006364977,Susie Orbach,What Do Women Want?
0006365280,Richard Mackarness,A Little of What You Fancy: How to Control Smoking and Other Cravings
0006365744,Jocelyn Clarke,Women in Australian politics (Fontana paperbacks)
0006366023,Betty Edwards,Drawing On the Right Side of the Brain
0006366473,Harry Cole,Policeman's patrol (A Fontana original)
0006367763,Peter Kurth,Anastasia: The Life of Anna Anderson
0006368212,Tom Vernon,Fat Man on a Roman Road
0006368409,Lillian B. Rubin,INTIMATE STRANGER: What Goes Wrong in Relationships Today-and Why
0006368417,Penelope Leach,First Six Months: Getting Together with Your Baby
0006368573,Alan T. Graham,Help Your Child with Maths
0006369553,Christine Marion Fraser,Blue Above the Chimneys
000636988X,Libby Purves,How Not to Be a Perfect Mother: The Crafty Mother's Guide to a Quiet Life (How Not to)
0006370039,Tom Steel,Scotland's Story
0006370470,Philip Ziegler,Mountbatten the Official Biography
0006370829,Kenneth Williams,Just Williams: An Autobiography
0006371078,Joan Jonker,Victims of violence
0006371108,Jerry Rhodes,The Colours of Your Mind
0006371248,Posy Simmonds,VERY POSY
0006371647,Auberon Waugh,ANOTHER VOICE
0006372007,Frances Edmonds,"Another Bloody Tour: England in the West Indies, 1986"
0006372570,Marcus Sieff,Don't Ask the Price: The Memoirs of the President of Marks &amp; Spencer
0006372899,Martyn Forrester,"Everything You Always Suspected Was True About Advertising: (But Were Too Legal, Decent and Honest to Ask)"
0006374085,Jeffrey Robinson,Yamani: The Inside Story
0006374093,John Harvey Jones,Making It Happen: Reflections on Leadership
0006374123,Hedrick-Smith,The Power Game: How Washington Works
0006374603,John Prebble,Landscapes &amp; memories: An intermittent autobiography
0006374964,Chet Flippo,"McCartney: \The\"" Biography"""
0006374999,Christina Noble,At Home in the Himalayas
0006375227,Mark McCormack,Success Secrets
0006375340,Elliot Rose,The Green Age Diet Plan
0006375952,William Dalrymple,City of Djinns
0006376010,Patrick French,Younghusband: The Last Great Imperial Adventurer
0006376088,Jean Alexander,The Other Side of the Street: The Autobiography of Jean Alexander
000637610X,Maureen Lipman,You Got an Ology
0006377157,Katie Hickman,A Trip to the Light Fantastic: Travels With a Mexican Circus
0006377424,Wayne Gretzky,Gretzky: Canada
0006379095,Margaret Visser,Rituals of Dinner
0006379192,Heather Brazier,Which do you prefer-- chunky or smooth?
0006379702,William Shatner,"My \Star Trek\"" Memories"""
0006379834,General Sir Peter Billiere,Looking for Trouble: Sas to Gulf Command-The Autobiography
0006380158,Marjorie Harris,Favorite Garden Tips (Canadian Garden Collection)
0006380263,Sharon Butala,Perfection of the Morning an Apprentices
0006380344,Sandra Gwyn,Tapestry of War: A Private View of Canadians in the Great War
0006380905,Kenneth Williams,The Kenneth Williams Diaries
0006380921,Kenneth Williams,The Kenneth Williams letters
0006380964,Mark Owens,Survivor's Song
000638255X,Gordon Brook-Shepherd,The Austrians: A Thousand Year Odyssey
0006382649,Des MacHale,The World's Best Scottish Jokes
0006382797,Susan Wels,The Olympic Spirit: 100 Years of the Games
0006382991,Robert A. F. Thurman,Inside Tibetan Buddhism/Rituals and Symbols Revealed: Rituals and Symbols Revealed (Signs of the Sacred)
0006383777,Henry Beard,Sex and Dating: The Official Politically Correct Guide
0006383947,David V Canter,Criminal shadows: Inside the mind of the serial killer
0006383963,Alice Rawsthorn,Yves Saint Laurent
0006384447,John Baxter,Steven Spielberg: The Unauthorised Biography
0006384617,Cathy Hopkins,The World's Best Lightbulb Jokes
0006384684,Stephen Taylor,Shaka's Children: A History of the Zulu People
0006384722,Christopher Dewdney,Last Flesh: Life in the Transhuman Era
0006384765,Richard Croft,The Beginner's Guide to Investing : A Practical Guide to Putting Your Money to Work for You
0006384803,Nuala Beck,Shifting Gears : Thriving in the New Economy
0006384854,Murray Baker,The Debt-Free Graduate: How to Survive College or University Without Going Broke
0006385079,Alistair Davidson,Riding the Tiger
0006385192,Kim Zarzour,Schoolyard Bully: How to Cope With Conflict and Raise an Assertive Child
0006385214,Rory MacLean,The oatmeal ark: Across Canada by water
0006385389,Yves Lavigne,Death Dealers: A Witness to the Drug Wars That Are Bleeding America
0006385400,Rosemary Sullivan,The Red Shoes : Margaret Atwood Starting Out
0006385427,Douglas Coupland,Girlfriend in a Coma
0006385621,Robin Sharma,Leadership Wisdom from the Monk Who Sold His Ferrari: The 8 Rituals of Visionary Leaders
0006385648,Yves Lavigne,Hells Angels at War: The Alarming Story Behind the Headlines
0006385672,Peter Dalglish,The Courage of Children: My Life with the World's Poorest Kids
0006385729,Cecil Foster,Island wings: A memoir
0006385753,Andre Picard,The Gift of Death: Confronting Canada's Tainted-Blood Tragedy
0006385907,Sid Marty,Leaning on the Wind: Under the Spell of the Great Chinook
0006385923,Eric Walters,Stranded
0006385958,Sharon Butala,Coyotes Morning Cry
0006386040,Sharlene Azam,"Rogue, Rebel, Mischievous Babe: A Survival Guide for Canadian Teen Girls"
0006386075,J. L. Granatstein,Who Killed Canadian History?
0006386369,Ruth Teichroeb,Flowers on My Grave: How an Ojibwa Boy's Death Helped Break the Silence on Child Abuse
0006386512,Kate Fillion,How to Dump a Guy: A Coward's Manual
0006386601,Kate Fillion,"Lip Service: The Truth About Women's Darker Side in Love, Sex and Friendship"
0006386725,Kenji Kawakami,101 Unuseless Japanese Inventions
000638692X,Philip Marsden,The Bronski House: A Return to the Borderlands
0006388264,Jenny Simpson,Biting the Bullet: Living With the Sas
000638837X,Sarah Ford,One Up: A Woman in Action with the SAS
0006388922,Fiona Gilmore,Brand Warriors
0006391702,Arthur G. Slade,Tribes
0006391745,Rob Payne,Live by Request
0006391893,Sally Beauman,Rebeccas Tale
0006391931,Eric Wilson,The Emily Carr Mystery
000639194X,Kenneth Oppel,Firewing
0006392466,Rob Payne,Working Class Zero
0006392776,Natale Ghent,No Small Thing
0006470033,Christine Marion Fraser,Stranger on Rhanna
0006470041,Christine Marion Fraser,King's farewell
0006470173,George MacDonald Fraser,The Pyrates
0006471641,Michael Dobbs,To play the king
0006472079,Maisie Mosco,New beginnings
0006472184,William Horwood,"Duncton Tales: Volume One of \the Book of Silence\"""""
0006472648,Barbara Erskine,Child of the Phoenix
0006473024,William Horwood,Duncton Rising (Book of Silence)
0006473369,Philippa Gregory,Fallen Skies
0006474047,Sharon Butala,The Fourth Archangel: A Novel
000647425X,Margaret Fishback Powers,Footprints: The True Story Behind the Poem That Inspired Millions
0006474292,Janice Kulyk Keefer,Traveling Ladies
0006474950,Linda Svendsen,Marine Life
0006475043,Peter Mcgehee,Sweetheart
0006475205,Ayanna Black,Fiery Spirits: A Collection of Short Fiction and Poetry by Canadian Writers of African Descent
0006475272,Evelyn Lau,Fresh Girls and Other Stories
0006475329,Catherine Bush,Minus Time
0006476325,Gordon Stevens,Provo
0006476333,Robert Ludlum,Scorpio Illusion Uk
0006478824,David Williams,Planning on Murder
0006479383,Karleen Bradford,There Will Be Wolves
0006479499,Diane Schoemperlen,In the language of love : a novel in 100 chapters
0006479561,Tony Hillerman,Sacred Clowns
0006479626,Margaret Gibson,Sweet Poison
0006479650,Karleen Bradford,Thirteenth Child
000648025X,Jane Welch,"The Runes of War (The Runespell Trilogy, Book 1)"
0006480500,Cordelia Strube,Dr. Kalbfleisch &amp; the Chicken Restaurant
0006480551,Timothy Findley,Dust to Dust: Stories
0006480764,Andrew Pyper,Lost Girls
0006480837,Monica Hughes,Castle Tourmandyne
0006480853,Bharati Mukherjee,Leave It to Me
000648090X,Barbara Delinsky,A Woman's Place
0006480985,Cordelia Strube,Teaching Pigs to Sing
0006481035,Marilyn Bowering,To All Appearances a Lady
0006481078,David Bergen,A Year of Lesser: A Novel
0006481221,Eric Wilson,Murder on the Canadian: A Tom Austen Mystery
0006481590,Gail Hamilton,"My Dog Pal (Wind at My Back, 3)"
0006481604,Monica Hughes,The Faces of Fear
0006481760,Monica Hughes,The Other Place
000648185X,Eric Wilson,Escape from the Big Muddy
0006481957,W.P. Kinsella,The Silas Stories
000648199X,Cordelia Strube,Milton's Elements
0006482236,Brian Aldiss,Helliconia
0006482678,Alison Spedding,The Road and the Hills (Walk in the Dark S.)
000648302X,Matthew Thomas,Before and After
0006483801,Stephen Walker,Danny Yates Must Die
000648381X,Stephen Walker,MR. LANDEN HAS NO BRAIN
0006485057,Monica Hughes,The Story Box
0006485405,Sharon Butala,Luna
0006485936,Arthur G. Slade,Dust
0006490255,Norma Curtis,Quality time
0006490603,James Cameron,James Cameron's Titanic
0006492126,Collins Publishers,"A Day in the Life of Ireland: Photographed by 75 of the World's Leading Photojournalists on One Day, May 17, 1991 (Day in the Life)"
0006492347,Charles Schulz,Insights from the Outfield (Peanuts at Work &amp; Play)
